q_struct,algorithm,interval,clients left,total max clients
q10_10,shortest,1,8204,100
q10_10,shortest,2,3212,100
q10_10,shortest,3,1553,96
q10_10,shortest,4,714,92
q10_10,shortest,5,216,90
q10_10,shortest,6,0,20
q10_10,shortest,7,0,9
q10_10,shortest,8,0,8
q10_10,shortest,9,0,7
q10_10,shortest,10,0,6
q10_10,longest,1,8194,99
q10_10,longest,2,3227,99
q10_10,longest,3,1563,99
q10_10,longest,4,754,99
q10_10,longest,5,269,98
q10_10,longest,6,3,100
q10_10,longest,7,0,95
q10_10,longest,8,0,92
q10_10,longest,9,0,92
q10_10,longest,10,0,82
q10_10,fastest,1,8223,98
q10_10,fastest,2,3231,99
q10_10,fastest,3,1572,99
q10_10,fastest,4,762,98
q10_10,fastest,5,275,97
q10_10,fastest,6,12,90
q10_10,fastest,7,0,76
q10_10,fastest,8,0,63
q10_10,fastest,9,0,56
q10_10,fastest,10,0,49
q10_10,random,1,8210,99
q10_10,random,2,3215,98
q10_10,random,3,1547,94
q10_10,random,4,728,87
q10_10,random,5,239,71
q10_10,random,6,1,22
q10_10,random,7,0,11
q10_10,random,8,0,9
q10_10,random,9,0,7
q10_10,random,10,0,6
q100_1,shortest,1,0,64
q100_1,shortest,2,0,32
q100_1,shortest,3,0,21
q100_1,shortest,4,0,16
q100_1,shortest,5,0,13
q100_1,shortest,6,0,11
q100_1,shortest,7,0,9
q100_1,shortest,8,0,8
q100_1,shortest,9,0,7
q100_1,shortest,10,0,6
q100_1,longest,1,0,64
q100_1,longest,2,0,32
q100_1,longest,3,0,21
q100_1,longest,4,0,16
q100_1,longest,5,0,13
q100_1,longest,6,0,11
q100_1,longest,7,0,9
q100_1,longest,8,0,8
q100_1,longest,9,0,7
q100_1,longest,10,0,6
q100_1,fastest,1,0,59
q100_1,fastest,2,0,27
q100_1,fastest,3,0,17
q100_1,fastest,4,0,13
q100_1,fastest,5,0,10
q100_1,fastest,6,0,9
q100_1,fastest,7,0,8
q100_1,fastest,8,0,7
q100_1,fastest,9,0,6
q100_1,fastest,10,0,5
q100_1,random,1,0,50
q100_1,random,2,0,25
q100_1,random,3,0,17
q100_1,random,4,0,13
q100_1,random,5,0,11
q100_1,random,6,0,9
q100_1,random,7,0,8
q100_1,random,8,0,7
q100_1,random,9,0,7
q100_1,random,10,0,6
q10_R1_19,shortest,1,8214,96
q10_R1_19,shortest,2,3210,99
q10_R1_19,shortest,3,1545,86
q10_R1_19,shortest,4,714,94
q10_R1_19,shortest,5,203,102
q10_R1_19,shortest,6,5,20
q10_R1_19,shortest,7,0,9
q10_R1_19,shortest,8,0,8
q10_R1_19,shortest,9,0,7
q10_R1_19,shortest,10,0,6
q10_R1_19,longest,1,8211,94
q10_R1_19,longest,2,3216,100
q10_R1_19,longest,3,1566,97
q10_R1_19,longest,4,751,94
q10_R1_19,longest,5,267,94
q10_R1_19,longest,6,5,99
q10_R1_19,longest,7,0,91
q10_R1_19,longest,8,0,91
q10_R1_19,longest,9,0,90
q10_R1_19,longest,10,0,72
q10_R1_19,fastest,1,8239,90
q10_R1_19,fastest,2,3235,93
q10_R1_19,fastest,3,1575,98
q10_R1_19,fastest,4,769,95
q10_R1_19,fastest,5,268,98
q10_R1_19,fastest,6,14,91
q10_R1_19,fastest,7,0,75
q10_R1_19,fastest,8,0,70
q10_R1_19,fastest,9,0,54
q10_R1_19,fastest,10,0,50
q10_R1_19,random,1,8198,98
q10_R1_19,random,2,3220,88
q10_R1_19,random,3,1543,92
q10_R1_19,random,4,718,93
q10_R1_19,random,5,246,72
q10_R1_19,random,6,3,25
q10_R1_19,random,7,0,11
q10_R1_19,random,8,0,9
q10_R1_19,random,9,0,7
q10_R1_19,random,10,0,6
